Date,headline,text
2022-11-28,Un fonds spéculatif de premier plan fait un pari contrarien sur Meta,"Alors que la plupart des valeurs technologiques souffrent de la hausse des taux d'intérêt et du ralentissement de la croissance, un gestionnaire de fonds spéculatif très performant va à contre-courant en pariant sur l'effondrement des actions de Meta Platforms, propriétaire de Facebook. Les technologies coûteuses de la Silicon Valley ne figureraient normalement pas sur la liste des achats du Liontrust GF Tortoise Fund, que son gérant Tom Morris décrit comme un ""fonds spéculatif axé sur la valeur"", à la recherche d'actions qu'il juge bon marché, Tortoise a surpassé 99 % de ses pairs des fonds d'actions à long terme cette année, avec des rendements d'environ 22 %, par rapport à la baisse de 12 % de l'indice Equity Long/Short Hedge FundNonobstant, Morris estime qu'il est temps d'être ""raisonnablement contrariant"" Pour la perspective, Meta ne se classe pas parmi les 25 plus grandes positions du fonds de 20 milliards de dollars.4 milliards de dollars de l'ETFS iShares ESG Aware MSCI USAPar ailleurs, Meta Platforms s'est vu infliger une amende de 265 millions d'euros (277 millions de dollars) pour n'avoir pas empêché la fuite des données personnelles de plus d'un demi-milliard d'utilisateurs de son service Facebook."
2022-11-27,Le PDG de DWS de la Deutsche Bank envisage une nouvelle structure juridique,"Stefan Hoops, PDG du groupe DWS, envisage de modifier la structure juridique de l'entreprise dans le cadre de ses efforts pour attirer un plus grand nombre d'actionnaires. L'une des options qui s'offrent au dirigeant de la branche de gestion d'actifs de la Deutsche Bank est de transformer la structure actuelle, qui limite l'influence des actionnaires minoritaires, en une forme allemande équivalente à une société anonyme britannique. 7 décembre, où il exposera sa vision pour le gestionnaire d'actifs, six mois après avoir pris la direction de l'entreprise au milieu d'allégations d'écoblanchiment sous son prédécesseurL'attrait de DWS pour les clients et les investisseurs est une considération clé et il a remis en question la force de la marque DWS dans les régions en dehors de l'Allemagne La pénalité ESG de Goldman Sachs par la SEC est de bon augure pour la Deutsche Bank et DWS, selon les analystes d'Intelligence."
2022-11-24,JPMorgan et Deutsche Bank poursuivies par les accusateurs d'Epstein,"JPMorgan Chase & Co. et Deutsche Bank AG ont été accusées d'avoir permis les abus sexuels perpétrés par Jeffrey Epstein dans le cadre d'une action collective intentée à New York, selon laquelle les banques auraient fermé les yeux afin d'engranger des bénéfices. Les poursuites, déposées séparément auprès d'un tribunal new-yorkais, allèguent que les banques ont ""sciemment bénéficié et reçu des choses de valeur pour avoir aidé, soutenu, facilité... et fourni de toute autre manière le service le plus critique pour le compte de Jeffrey Epstein, JPMorgan est accusée d'avoir ""bénéficié financièrement de sa participation"" au trafic sexuel présumé en fournissant un soutien financier de 1998 à août 2013. La Deutsche Bank est accusée de savoir qu'elle ""gagnerait des millions de dollars"" grâce à ses relations avec Jeffrey Epstein. Un Who's Who de financiers, d'entrepreneurs, de politiciens et même de membres de la famille royale a été entaché par leur association avec le pédophile condamné."
2022-11-23,"Les suppressions d'emplois dans le secteur de la technologie augmentent l'""anxiété"" dans l'ensemble de l'industrie","Après des années de croissance exubérante et d'embauches, les licenciements ont fait éclater la bulle d'inviolabilité de la Silicon Valley. Au 15 novembre, les entreprises technologiques avaient annoncé 31 200 suppressions d'emplois depuis le début du mois, selon Challenger, Gray & ChristmasLe cabinet de conseil en ressources humaines indique qu'il s'agit du total mensuel le plus élevé depuis septembre 2015, lorsqu'une restructuration de Hewlett-Packard avait annoncé la suppression de milliers de postesMeta, Twitter et Amazon.com ont tous réduit leurs effectifs, ou annoncé des réductions à venir. HP a déclaré mardi qu'il prévoyait de supprimer jusqu'à 6 000 postes au cours des trois prochaines années"
2022-11-22,Amundi et DWS reclassent des fonds dans le cadre d'une réorganisation majeure du secteur,"Amundi et le groupe DWS de la Deutsche Bank déclassent des fonds ESG d'une valeur de plusieurs milliards de dollars, renforçant ainsi le sentiment de désarroi qui se répand dans le secteur européen de la gestion d'actifs alors qu'il digère des orientations réglementaires plus strictes. Amundi reclasse presque tous les fonds répertoriés dans la catégorie ESG la plus élevée de l'UE, connue sous le nom d'article 9. La décision affecte près de 45 milliards d'euros (46 milliards de dollars) des produits Article 9 d'AmundiUn porte-parole de DWS a déclaré que les déclassements affecteront environ 2 milliards d'euros d'actifs de fondsMorningstar a déclaré qu'elle s'attend à ce qu'au moins 85 milliards de dollars de fonds Article 9 de l'industrie soient déclassés dans les semaines et les mois à venir ""Nous nous attendons à ce que de nombreux fonds, sinon tous, de ce que nous appelons l'Article 9, soient déclassés dans les semaines et les mois à venir"", Nous nous attendons à ce qu'un grand nombre, voire la totalité, de ce que nous appelons les fonds ""soucieux du climat"" et ""à faible émission de carbone"" passent de l'article 9 à l'article 8"", a déclaré Hortense Bioy, directrice mondiale de la recherche sur le développement durable chez Morningstar."
2022-11-21,Amundi s'ajoute à la liste croissante des sociétés qui dégradent leurs fonds,"Amundi, le plus grand gestionnaire d'actifs d'Europe, supprime la désignation ESG la plus élevée de la région pour pratiquement tous les fonds qui la possèdent, alors que l'entreprise tente d'interpréter les changements dans les directives réglementaires. En raison de l'évolution constante de l'environnement réglementaire, Amundi a choisi d'adopter une approche prudente et de reclasser la quasi-totalité de sa gamme de fonds classés dans la catégorie ESG la plus élevée de l'UE, connue sous le nom d'article 9, a déclaré un porte-parole d'Amundi, Amundi est la dernière d'une liste croissante d'entreprises d'investissement touchées par les changements apportés au règlement de l'UE contre l'écoblanchiment, le règlement sur la divulgation des informations relatives à la finance durable (Sustainable Finance Disclosure Regulation)Censé être la référence mondiale en matière d'investissement ESG, le cadre a été entaché de lacunes et d'incohérences apparemment sans fin qui ont piégé des entreprises telles que BlackRock, Axa Investment Management et Pimco."
2022-11-21,La COP27 approuve un accord historique de dernière minute sur le climat,"Les négociations sur le climat de la COP27 en Égypte, qui ont failli s'effondrer dans les derniers instants, se sont achevées sur un accord conclu dans les premières heures de la journée en vue de créer un fonds destiné à indemniser les pays les plus pauvres pour les dommages causés par le changement climatique. L'accord sur les pertes et dommages est un moment historique dans la politique climatique mondiale, car il reconnaît que les pays riches sont responsables envers les pays en développement des dommages causés par la hausse des températures. Mais ce sommet houleux, qui s'est déroulé dans le contexte d'une crise énergétique mondiale déclenchée par l'invasion de l'Ukraine par la Russie, a mis en évidence des lignes de fracture sur la manière dont le monde devrait opérer la transition pour s'éloigner des combustibles fossiles, et n'a guère fait progresser les ambitions de la COP de l'année dernière à Glasgow, à savoir réduire les émissions nocives de gaz à effet de serre."
2022-11-17,Les émetteurs de SLB sont confrontés à d'éventuelles pénalités,"La relance des combustibles fossiles dans la politique énergétique européenne risque de déclencher la première vague de sanctions financières sur le marché mondial des obligations ESG. Selon une analyse réalisée par l'Anthropocene Fixed Income Institute, le fournisseur d'énergie Public Power Corp. pourrait se trouver dans l'impossibilité virtuelle d'atteindre l'objectif de fin d'année en matière d'émissions sur certaines de ses dettes. En effet, les régulateurs, les fonctionnaires et les représentants de l'industrie s'accordent sur des politiques de crise qui retardent l'abandon progressif de la production de charbon de lignite par l'entreprise, ce qui pourrait également rendre difficile l'atteinte d'un objectif distinct pour 2023, selon l'AFII. Les obligations liées au développement durable prévoient généralement que les émetteurs paient une pénalité s'ils n'atteignent pas des objectifs ESG prédéterminés. Mais avec la décision de l'Europe d'augmenter la production de charbon en réponse à la crise énergétique actuelle, les engagements climatiques à court terme sont en train de dérailler et ne laissent guère d'autre choix à de nombreux services publics que de s'adapter."
2022-11-16,Les paris liés à FAANG pourraient être plus néfastes l'année prochaine,"Les investisseurs du GSE qui détiennent des actions dites ""FAANG"" dans l'espoir que 2023 corrigera les erreurs de cette année risquent d'avoir une mauvaise surprise. Meta Platforms, la société mère de Facebook, Amazon.com, Apple, Netflix et Alphabet, la société mère de Google, dominent certains des plus grands fonds ESG et sont l'une des principales raisons de leur sous-performance cette année Au cours des 12 derniers mois, l'indice MSCI World Information Technology a chuté d'environ 25 %, Amazon a perdu plus de 45 % et Meta a perdu environ les deux tiers de sa valeur Ces pertes pourraient ne pas être la fin de la mauvaise série. ""Nous pourrions assister à la poursuite de certains des problèmes que nous avons connus dans le secteur technologique l'année prochaine"", a déclaré Amarachi Seery, analyste en développement durable chez Janus Henderson."
2022-11-15,Le stockage des batteries en tête de liste des investisseurs dans les technologies climatiques,"Au moins 369 milliards de dollars. C'est le montant mis à disposition pour soutenir les énergies propres par la loi historique sur la réduction de l'inflation. Et les investisseurs sont au rendez-vous. Les opportunités vont de l'énergie renouvelable et nucléaire aux véhicules électriques et aux nouvelles technologies telles que les batteries, l'hydrogène et le captage, l'utilisation et le stockage du carbone. Le marché du stockage des batteries a été désigné comme le secteur le plus prometteur dans une enquête de News auprès des lecteurs de Terminal et de .comEn gros, 27 % des 691 personnes interrogées ont choisi le stockage des batteries. Les entreprises spécialisées dans l'énergie solaire et éolienne arrivent en deuxième position (18 %), suivies par l'hydrogène vert, la capture du carbone et les fabricants de véhicules électriques : La chaîne d'approvisionnement pour les batteries de véhicules électriques arrive en Amérique"
