headline,text,url
Tesco and Sainsbury's ban plastic cotton buds to cut waste ,"The UK’s two largest supermarket chains have committed to end the sale of cotton buds with plastic stems, which are the most common litter from toilets flushed on to the country’s beaches.
Both Tesco and Sainsbury’s will replace the plastic stick with paper by the end of 2017 in their own-brand products.
Other major companies, including Morrisons, Asda and Boots, are currently considering a plastic ban, while Waitrose, the Co-operative and Johnson & Johnson have already committed to paper stems.
Natalie Fee, founder of the City to Sea campaign to cut plastic pollution, said: “We’re delighted with the announcements to ‘switch the stick’ from plastic to paper stem buds.
“We found over 23 [plastic] cotton bud sticks on every 100m of beaches we cleaned in September.",https://www.theguardian.com/environment/2016/nov/30/tesco-and-sainsburys-ban-plastic-cotton-buds-to-cut-waste
General Motors seeks to reassure Vauxhall on UK job losses,"Nick Reilly, the new head of GM Europe, has given his strongest commitment yet to safeguard the Vauxhall plants in Britain from any job cull – at least until 2013.
I don't see any forced redundancies,"" said Reilly, who was named chief executive of Vauxhall and Opel at the weekend in addition to his GM Europe role.
The US carmaker had been planning to appoint an outside director to take on the task but has ditched the idea.
We can't say if it will be at the Luton plant until negotiations are finished,"" he said, pointing out that the wider GM Europe restructuring plans were now ""95% complete"".
The GM Europe boss, would not say how much he wanted business secretary Lord Mandelson to provide in aid.",https://www.theguardian.com/business/2009/dec/06/general-motors-vauxhall-job-losses
"SSE powers to 40% rise in retail profits despite losing 500,000 customers ","SSE has rekindled the simmering row over high energy bills by revealing it boosted its retail profits by 40% despite falling demand for power and the company losing half a million customers.
Alistair Phillips-Davies, SSE chief executive, insisted it had been a challenging year but one in which customers had gained.
Ann Robinson, director of consumer policy at uSwitch.com, said: “The news that profits have soared will not go down well with many SSE customers, especially given higher winter bills following the cold winter.
“All energy companies need to make sure their customers are benefiting from a cut in wholesale prices.
A spokesman said: “As things stand, the only thing consumers will get from some of these suppliers are higher bills.”",https://www.theguardian.com/business/2015/may/20/sse-annual-retail-profits-ferrybridge-power-station-closure
SSE plans to triple renewable energy production by 2030 ,"SSE has set out plans to triple its renewable energy generation by 2030 as it prepares to build the world’s largest offshore windfarm off the north-east coast of England.
The energy firm told investors that it was days away from a final investment decision on the 3.2GW Dogger Bank offshore windfarm, which could generate enough clean electricity to power 4.5m homes by 2026.
The Dogger Bank project is part of SSE’s plan to invest about £7.5bn on clean energy in the UK, which would help triple the company’s existing renewable energy capacity.
SSE’s plan to invest £7.5bn follows a pledge from Scottish Power, which plans to invest £10bn in green energy and infrastructure over the next five years.
Other major renewable energy developers which are expected to invest in the UK’s green energy plans include Denmark’s Ørsted, Equinor and the Swedish utility Vattenfall.",https://www.theguardian.com/environment/2020/nov/18/sse-plans-to-triple-renewable-energy-production-by-2030
BP leads energy companies preparing two major UK carbon capture projects ,"After decades spent extracting fossil fuels from the UK’s North Sea, a consortium of oil companies is preparing to pump Britain’s greenhouse gas emissions back beneath the seabed to help meet the government’s climate ambitions.
BP has set out plans to lead an alliance of energy companies in siphoning off the carbon dioxide from factory flues under new plans in which almost half the UK’s industrial emissions will be stored beneath the North Sea from 2026.
The new alliance will operate the pipes and storage facility needed to transport the emissions from both industrial zones and dispose of almost 50% of the UK’s industrial emissions in saline aquifers beneath the North Sea seabed.
Carbon capture and storage is considered vital to the UK’s legally binding target to create a carbon neutral economy by 2050.
The Northern Endurance Alliance has applied for funding from the government’s £170m industrial decarbonisation challenge which was set up this time last year.",https://www.theguardian.com/environment/2020/oct/27/bp-leads-energy-companies-preparing-two-major-uk-carbon-capture-projects
Elon Musk on road to $50bn payout as Tesla's value passes $100bn ,"The Tesla founder, Elon Musk, has taken the first step to becoming $50bn (£38bn) richer after the value of the electric car company surged past $100bn.
Under the scheme corporate governance experts have described as “staggering”, Musk must build Tesla into a $650bn company over the next 10 years.
Provided Tesla also hits ambitious revenue and profit targets, and assuming Musk remains its chief executive, such growth would also trigger payments in stock worth about $50bn over the course of the scheme.
At the time the deal was agreed in March 2018, Tesla was valued by the stock market at $54.6bn.
If Musk can keep the stock market value at above $100bn on average over the next six months, he will be entitled to the first of up to 12 stock payouts, worth around $350m each.",https://www.theguardian.com/technology/2020/jan/22/elon-musk-on-road-to-50bn-payout-as-teslas-value-passes-100bn
McDonald's to scrap Luxembourg tax structure,"McDonald’s is to scrap its controversial Luxembourg tax structure in a corporate shakeup that means $1bn (£800m) of income from fast-food restaurants across Europe will flow through the UK instead.
McDonald’s and Luxembourg have denied suggestions the restaurant group received special treatment.
Nevertheless, the US multinational has decided to unwind its Luxembourg tax structure.
At the heart of the controversy is a Luxembourg subsidiary called McDonald’s Europe Franchising Sarl (MEF).
The fast-food group’s tax structure in Luxembourg uses some of the complex cross-border arrangements that have attracted widespread criticism from politicians around the world.",https://www.theguardian.com/business/2016/dec/08/mcdonalds-to-scrap-luxembourg-tax-structure
Amazon told: time is up for tax avoidance,"Tax structures used by Amazon to route billions of pounds from sales to British customers through Luxembourg, paying negligible UK tax, are among a series of international loopholes earmarked for closure in a programme of reforms backed by G20 nations.
The ""once-in-a-century"" move to patch up holes in international tax rules was unveiled in Moscow by George Osborne and fellow finance ministers from France and Germany, who have together been the driving force behind calls for reform.
""It is clear multinational companies have developed an unprecedented know-how for minimising their worldwide tax pressure,"" he said.
Earlier this week, the Guardian reported that American negotiators had in effect blocked more radical French ambitions for new tax rules targeted at digital multinationals.
Also understood to be a focus of frustration for US negotiators are mixed messages from Osborne and David Cameron on the UK's approach to multinational tax.",https://www.theguardian.com/business/2013/jul/19/oecd-tax-reform-proposals-amazon
Why Schroders' reshuffle looks like a triumph of chumminess ,"Well played, Michael Dobson, that was a terrific 14-year innings as chief executive of fund manager Schroders, one of the few grand old City names to flourish in the modern world.
He is merely moving into the chairman’s office, a switch that – as usual on these occasions – looks like a triumph of chumminess over common sense.
The new chief executive operates under a shadow.
Schroders, managing £313bn of other people’s money, is a firm we expect to read the riot act on governance to quoted companies.
Schroders says there are cases where, having assessed the merits, it has approved of a chief executive becoming chairman – although it couldn’t name any immediately.",https://www.theguardian.com/business/2016/mar/03/schroders-reshuffle-board-chairman-chief-executive-corporate-governance
Osborne targets overseas sellers on Amazon and eBay in VAT clampdown,"Measures targeted at an army of overseas sellers using Amazon and eBay to evade VAT were at the heart of a £12bn tax clampdown announced by the chancellor.
Responding to new VAT evasion challenges presented by the booming digital economy, Osborne said tax inspectors would be given new powers to warn overseas sellers active in the UK through eBay and Amazon.
If, after those warnings, sellers did not collect VAT correctly within 30 days, then eBay and Amazon could be held liable for the missing tax.
For months, VAT campaigners have been calling for the government to hold Amazon and eBay liable for VAT fraud on their websites.
Campaigners said it was a mistake for the chancellor to task under-resourced UK tax inspectors with hunting down VAT evaders.",https://www.theguardian.com/business/2016/mar/16/osborne-targets-overseas-sellers-on-amazon-and-ebay-in-vat-clampdown
