headline,guardian_keywords,esg_category
David Cameron: 'G8 summit is a chance to recover national self-confidence',"['tax avoidance', 'corporate governance']",governance
Cameron plans offshore summit as tax secrets are leaked ,['tax havens'],governance
Ex-Andersen boss was 'sacrificial lamb',['corporate governance'],governance
BBC chiefs 'should face public grilling',['corporate governance'],governance
Arthur Andersen appeals for sympathy,['corporate governance'],governance
"Britain's £35bn tax gap is 'tip of the iceberg', says Margaret Hodge","['tax avoidance', 'corporate governance']",governance
The Just Eat takeover battle is promising a delicious showdown ,['corporate governance'],governance
Finance watchdog dilutes plans to make bank boards criminally liable,['corporate governance'],governance
BG Group cuts Helge Lund’s ‘golden hello’ after shareholder pressure,"['executive pay and bonuses', 'corporate governance']",governance
EU probes Ikea after Dutch deals reduce tax bill by €1bn ,"['tax avoidance', 'corporate governance']",governance
Ministers postpone bill debate to avoid likely defeat over tax havens ,"['tax avoidance', 'corporate governance']",governance
Carney: deputy should not have had to quit over 'honest mistake' ,['corporate governance'],governance
Bonus cap consultation puts Bank of England on collision course with Europe ,['executive pay and bonuses'],governance
Sports Direct chair Keith Hellawell faces renewed pressure to resign,['corporate governance'],governance
"Overhyped, overpaid and overextended",['corporate governance'],governance
Facebook board has to look past Mark Zuckerberg for reform,['corporate governance'],governance
IFS: UK's richest people exploiting loophole to cut tax rate,"['tax avoidance', 'corporate governance']",governance
The Guardian view on David Cameron: the warping ways of wealth | Editorial ,"['tax avoidance', 'corporate governance', 'tax havens']",governance
Birmingham academics protest over university vice-chancellor's pay ,['executive pay and bonuses'],governance
"Google shifted $23bn to tax haven Bermuda in 2017, filing shows ",['tax havens'],governance
OECD tax proposals offer G20 'once in a century' chance to fix creaking system,"['tax avoidance', 'corporate governance']",governance
Boardroom pay under spotlight as City AGM season begins ,['executive pay and bonuses'],governance
"Ireland gets an Apple windfall, but tackling tax avoidance just got harder | Simon Bowers ",['tax avoidance'],governance
The £93bn handshake: businesses pocket huge subsidies and tax breaks ,"['tax avoidance', 'corporate governance']",governance
Veteran fraud fighter faces calls to sweep the SEC clean,['corporate governance'],governance
Budget 2012: It's impossible to avoid tricky questions about Gaar,"['tax avoidance', 'corporate governance']",governance
"Enron scams fill 2,000 pages",['corporate governance'],governance
Workers on boards: the idea is not going away ,"['corporate governance', 'executive pay and bonuses']",governance
"As a Channel Islander, I can tell Jeremy Corbyn how to stop tax cheats | Kirsten More ",['tax havens'],governance
Pakistani PM’s children raised £7m against UK flats owned offshore ,['tax havens'],governance
Persimmon boss asked to leave amid ongoing outrage over bonus ,"['executive pay and bonuses', 'corporate governance']",governance
No way to dodge the tax haven issue,['corporate governance'],governance
FCA's chair-elect admits 'error of judgment' over tax avoidance scheme ,"['tax avoidance', 'corporate governance']",governance
Leicester garment factory bosses banned from running businesses for more than 400 years,['corporate governance'],governance
"Too big and too scary, but the global fat cats can be chopped down to size","['corporate governance', 'tax avoidance']",governance
This farcical tax system is cheating us out of billions,"['tax avoidance', 'corporate governance']",governance
