headline,guardian_keywords,esg_category
Save three times your salary before you’re 40 to retire? That’s absurd advice | Merryn Somerset Webb ,['others'],non-esg
Barnier: UK will lose access to EU security databases after Brexit ,['others'],non-esg
Experience: I was married to an Islamic State leader ,['others'],non-esg
"Marriage may improve chances of surviving a heart attack, say researchers ",['others'],non-esg
"The gifs that keep on giving: hubris, genius, ingenuity and an unreal nutmeg  via @guardian_sport",['others'],non-esg
The true cost of sugar is more than its price | Letters ,['others'],non-esg
Woman died after accidental overdose of highly toxic diet pills ,['others'],non-esg
European roundup: Lazio beat Bologna to leapfrog Juventus at top of Serie A ,['others'],non-esg
Geraint Thomas climbs into Tour de France yellow jersey with stage 11 win ,['others'],non-esg
'Special talent' Kwadwo Baah making waves at Rochdale after ballboy fame ,['others'],non-esg
Who's the daddy? Female fish have novel way of finding reliable mates ,['others'],non-esg
"Billions locked in poverty by public sector corruption, report shows ",['others'],non-esg
Why I spoke out about losing my newborn daughter | Vicky Foxcroft ,['others'],non-esg
How to procrastinate like an expert | Tania Browne ,['others'],non-esg
New York ‘Veganilla’ chocolate seltzer recipe | The Good Mixer ,['others'],non-esg
How Trump's presidency has divided Jewish America ,['others'],non-esg
Lil Peep: Come Over When You’re Sober Pt 2 review – accessible emo-rap from late zeitgeist hero ,['others'],non-esg
"Irish border remains a Brexit hurdle, say EU sources ",['others'],non-esg
UK local newspapers unite in coronavirus pledge to communities ,['others'],non-esg
Stubbornness and lack of talent: the factors that doomed USA's World Cup  via @guardian_sport,['others'],non-esg
Why the ultimate breakfast of champions might just be wine and cheese ,['others'],non-esg
Jadon Sancho the difference as blunders mar England’s 5-3 win against Kosovo ,['others'],non-esg
Harry Dunn family file wrongful death lawsuit against US driver ,['others'],non-esg
"The Young Pope review – stunning, thoughtful and visually arresting ",['others'],non-esg
Republican debate: policy trumps bickering as Rubio stronger in home state ,['others'],non-esg
The Guardian launches new live radio show The Guardian Radio Hour ,['others'],non-esg
Over the ice ... how to run across a Siberian lake ,['others'],non-esg
Tory MPs push for money to be switched from urban to rural schools ,['others'],non-esg
Blind date: ‘A boy can hope’ ,['others'],non-esg
Michigan and Washington impose new restrictions as US Covid cases pass 11m ,['others'],non-esg
'A fairytale': when Birmingham City won the League Cup a decade ago ,['others'],non-esg
The Sun serves Ed Miliband a last helping of abuse ,['others'],non-esg
Mondo Duplantis in pole position to lead athletics’ new wave of talent | Sean Ingle ,['others'],non-esg
Jack Harrison's screamer completes Leeds' demolition of Newcastle ,['others'],non-esg
Run this town: what Rihanna's power suit means for your autumn wardrobe ,['others'],non-esg
Suicide blast kills 33 outside a bank in Afghanistan city of Jalalabad ,['others'],non-esg
Dozens die in double suicide bomb attack on Nigerian mosque ,['others'],non-esg
BBC Three could return to TV four years after online-only switch ,['others'],non-esg
"Doctor Who 'should never be played by a woman', says novelist AL Kennedy ",['others'],non-esg
Love is … a torment and a joy. And it’s not for softies ,['others'],non-esg
Rise of the billionaire robots: how algorithms have redefined hedge funds ,['others'],non-esg
Clear your diary – the anti-Europe pop gig is off ,['others'],non-esg
Jeremy Kyle refuses to appear before MPs' reality TV inquiry ,['others'],non-esg
Borussia Dortmund appoint Peter Bosz as new head coach on two-year deal  via @guardian_sport,['others'],non-esg
Breitbart reporter and editor-at-large quit over alleged assault at Trump event ,['others'],non-esg
Extra £6m in development funding to fight abuse of women and girls ,['others'],non-esg
Eye and smell tests may reveal early dementia signs  ,['others'],non-esg
Chris Gayle returns to West Indies squad for England ODI series at age of 39 ,['others'],non-esg
Viktor Postol stuns Lucas Matthysse for world super lightweight title  via @guardian_sport,['others'],non-esg
An even Bigger Splash: why David Hockney's pop-art poem lives on ,['others'],non-esg
I’m an emergency planner. Manchester shows we need new ways to heal | Lucy Easthope ,['others'],non-esg
Zsa Zsa Gabor dies aged 99 ,['others'],non-esg
Hitler ads from pro-Israel group begin running on Philadelphia transit buses ,['others'],non-esg
Trump calls Chicago 'embarrassing to nation' during first visit as president ,['others'],non-esg
Murder inquiry after two people found dead in east London ,['others'],non-esg
Dele Alli capitalises on Ben Mee mistake to earn Spurs draw at Burnley ,['others'],non-esg
Mike Pompeo blasts China's 'coercion' of Australia as cyber-attack likened to Parliament House hack ,['others'],non-esg
"Developing world leaders pay respects to Castro, their champion during cold war ",['others'],non-esg
Trump: Kim Jong-un risks losing everything if he acts 'in a hostile way' ,['others'],non-esg
Golden Globes nominations 2020: Marriage Story and The Irishman set for battle ,['others'],non-esg
Gretna 'loan' details deepen controversy over plan to end Scottish football season ,['others'],non-esg
It’s time fiction reflected gay married life ,['others'],non-esg
Cornwall fears loss of funding after backing Brexit ,['others'],non-esg
"Chris Evans will do 'wonderful job' on Top Gear, says BBC commercial boss ",['others'],non-esg
Zimbabwe journalist Hopewell Chin'ono arrested for third time in six months ,['others'],non-esg
Can it Happen Here? review: urgent studies in rise of authoritarian America ,['others'],non-esg
John Lewis axes link to final salary in staff pension scheme ,['others'],non-esg
Sebastian Heiser: journalist accused of spying at German newspaper ,['others'],non-esg
"Thanks, JK Rowling, but I’ve had it with Harry Potter | Pauline Bock ",['others'],non-esg
Tsitsi Dangarembga: 'I am afraid. There have been abductions' ,['others'],non-esg
Keith Hackett condemns referee standards and says Mike Riley should go ,['others'],non-esg
West London terror plot accused 'used Twitter to discuss getting gun' ,['others'],non-esg
Raw review – cannibal fantasy makes for a tender dish ,['others'],non-esg
Banja Luka mosque rises from rubble 23 years after it was destroyed ,['others'],non-esg
Andy Murray wins BBC Sports Personality of the Year 2016 ,['others'],non-esg
Caroline Wozniacki beats Camila Giorgi to match Wimbledon best  via @guardian_sport,['others'],non-esg
Brexit: no-deal exit edges closer as key Tories refuse to back Corbyn ,['others'],non-esg
Tower review – powerful reconstruction of US gun crime history ,['others'],non-esg
