headline,guardian_keywords,esg_category
Nobody takes responsibility for tackling racism in my university. Why? | Anonymous academic ,"['discrimination at work', 'work & careers']",social
Covid-19 crisis opens doors to a leaner but meaner British Airways,['job losses'],social
‘Trans people are just trying to exist in a society that won’t let us be part of it’ ,['gender'],social
Edinburgh Woollen Mill and Ponden Home collapse with loss of 860 jobs ,['job losses'],social
Northern Foods to close Swansea factory,['job losses'],social
Rising income inequality is deadlier for black Americans than whites ,['race'],social
Trans rights: Meet the face of Nepal's progressive 'third gender' movement  via @GuardianGDP #LGBTchange,"['human rights', 'gender']",social
Aston Martin axes 500 jobs after sales slump due to coronavirus ,['job losses'],social
Revealed: study exposes racial disparity as whites vaccinated at higher rates than Black Americans ,['race'],social
British police spied on grieving black families for decades. Now we want the truth | Kevin Blowe ,['race'],social
Women with master's degrees paid less than men without them in England ,"['gender pay gap', 'gender', 'work & careers']",social
Psychotherapy and issues of sexuality | Letter ,['lgbt rights'],social
IPCC bungled case against officers accused of abusing firefighter ,['race'],social
Labour offered to drop Margaret Hodge disciplinary action ,['race'],social
Sports Direct faces multimillion-pound claim from zero-hours contract workers ,"['employment law', 'work & careers']",social
School uniform firm to sell only gender-neutral uniforms ,['gender'],social
Basketball players kicked off American Airlines flight for alleged blanket theft ,['race'],social
Biden to sign more executive orders in effort to advance US racial equity ,['race'],social
Why are people racist? You asked Google – here’s the answer | Joseph Harker ,['race'],social
"New jobs coaches will help people back to work, says Rishi Sunak ","['job losses', 'work & careers']",social
Victorian MPs to debate bill to let transgender people change birth certificate without surgery ,['lgbt rights'],social
Golfer Bubba Watson criticised for vow to take Confederate flag off 'General Lee' car ,['race'],social
Racially biased arrests in Louisiana school district prompt appeal to feds ,['race'],social
Anti-LGBT rhetoric stokes tensions in eastern Europe ,['lgbt rights'],social
Just what men need – a sex survey that kicks sand in our faces | Peter Ormerod ,['gender'],social
Scared of Corbyn? As a black Jewish woman I’m terrified of Johnson | Nadine Batchelor-Hunt ,['race'],social
"Gender pay gap widening at one in four UK government bodies, figures show ","['gender', 'work & careers']",social
UK business confidence at four-year low,['job losses'],social
Russia bans two Soros foundations from disbursing grants ,['human rights'],social
'Northern powerhouse' event blasted for under-representing women ,['gender'],social
"'Vote for the homo, not the Cuomo: memorable political slogans ",['lgbt rights'],social
Priti Patel faces employment tribunal over alleged bullying ,['employment law'],social
Shit People Say to Women Directors blog spotlights Hollywood's blatant sexism ,['gender'],social
I’ve had a better offer – is it OK to leave a new job after a few months? ,['work & careers'],social
Arkansas revises religious freedom bill to prevent anti-LGBT discrimination ,['lgbt rights'],social
Back to Black: how the music industry reckoned with race this year ,['race'],social
Northern Rock to cut 650 jobs,['job losses'],social
Home Office stopped thousands of Britons for immigration checks ,['race'],social
Barriers placed around Robert E Lee statue as activists target Confederate monuments ,['race'],social
The Guardian view on Nicaragua’s protests: on the brink | Editorial ,['human rights'],social
Where are Leicester City’s Asian fans? | Jason Rodrigues ,['race'],social
Clive Myrie details racist abuse he receives as BBC News presenter ,['race'],social
Furore around Glen Kamara shows how racists can keep getting away with abuse | Jonathan Liew ,['race'],social
UK admits unlawfully monitoring legally privileged communications ,['human rights'],social
UK unemployment reaches four-year high in Covid-19 lockdown ,['job losses'],social
Catherine Zeta-Jones denounces ageism of Hollywood bosses ,['gender'],social
Why we should all ask ourselves: am I racist? | Letters ,['race'],social
UK work absence due to sickness 'halved in past two decades' ,['work & careers'],social
Battle of the sexes: why this year's Oscars will be a gender war ,['gender'],social
Shirin Ebadi: 'If books had been thrown at the Taliban instead of bombs … we would not have Isis' ,['gender'],social
